,NAME,Total:,Population of one race:,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Population of two or more races:,Two races including Some other race,"Two races excluding Some other race, self.assertNotIn(member, container)d three or more races",Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,Black or African American; American Indian and Alaska Native,All other two race combinations,Population of three races,Population of four or more races,GEO_ID,state
0,Mississippi,2976149,2932485,1726970,1130608,14634,31154,175,28944,43664,2589,41075,41398,20886,7269,6717,1686,4840,2136,130,0400000US28,28
1,Missouri,6137428,5965175,5022939,703058,25516,127154,10214,76294,172253,11149,161104,160530,72474,39846,27172,3833,17205,10582,1141,0400000US29,29
2,Montana,1068778,1032261,940423,7787,67603,8927,224,7297,36517,2337,34180,32349,3649,18656,5324,755,3965,3303,865,0400000US30,30
3,Nebraska,1934408,1881025,1666763,94659,18964,47740,1850,51049,53383,6347,47036,48804,17833,10973,10695,669,8634,4356,223,0400000US31,31
4,Nevada,3080156,2935948,1989116,296184,42426,261159,22587,324476,144208,22822,121386,131021,32725,16746,36569,3708,41273,12123,1064,0400000US32,32
5,New Hampshire,1359711,1329506,1258576,22000,1727,35807,713,10683,30205,1108,29097,28362,7154,8534,10080,36,2558,1726,117,0400000US33,33
6,New Jersey,8882190,8617761,5964295,1203843,18440,856561,3254,571368,264429,57237,207192,243548,88907,14459,62536,7972,69674,18818,2063,0400000US34,34
7,New Mexico,2096829,2024385,1549953,48337,199341,36549,924,189281,72444,20393,52051,67263,14911,16716,10277,2170,23189,4603,578,0400000US35,35
8,New York,19453561,18804263,12293680,3084304,73560,1680219,8277,1664223,649298,149030,500268,591550,206607,49579,129542,19784,186038,53764,3984,0400000US36,36
9,North Carolina,10488084,10192947,7144510,2253481,126708,309905,6878,351465,295137,31893,263244,265971,110955,39506,49945,19634,45931,27660,1506,0400000US37,37
10,North Dakota,762062,736917,653910,22256,40970,10669,2792,6320,25145,1538,23607,24315,6614,10230,4955,625,1891,808,22,0400000US38,38
11,Ohio,11689100,11345759,9452650,1467331,23544,274585,5274,122375,343341,20822,322519,315093,173377,41185,55583,11900,33048,25678,2570,0400000US39,39
12,Oklahoma,3956971,3656806,2865785,287414,316929,89950,4808,91920,300165,12189,287976,283090,42163,187502,14964,20852,17609,16045,1030,0400000US40,40
13,Oregon,4217737,4010412,3523853,77918,50417,194068,14182,149974,207325,22110,185215,190137,35623,67640,49794,926,36154,14856,2332,0400000US41,41
14,Pennsylvania,12801989,12469281,10193792,1454753,27088,453662,4148,335838,332708,45304,287404,307398,146125,31156,60849,13744,55524,22106,3204,0400000US42,42
15,Rhode Island,1059361,1014761,833690,78143,3341,37101,250,62236,44600,9844,34756,40054,13825,4655,7802,1092,12680,4049,497,0400000US44,44
16,South Carolina,5148714,5023183,3434467,1362917,18971,86571,7572,112685,125531,13135,112396,115750,58428,15969,17552,4829,18972,8972,809,0400000US45,45
17,South Dakota,884659,859961,743764,20866,75809,11530,2073,5919,24698,952,23746,23650,3896,14904,2257,1082,1511,1048,0,0400000US46,46
18,Tennessee,6829174,6672928,5272910,1141304,20431,125742,3469,109072,156246,12696,143550,144907,67718,24940,28119,5281,18849,9620,1719,0400000US47,47
19,Texas,28995881,28159954,21273326,3553922,144993,1446073,27026,1714614,835927,166747,669180,775714,248201,135993,158222,21053,212245,54976,5237,0400000US48,48
20,Vermont,623989,608622,585117,9435,2928,8603,386,2153,15367,164,15203,14061,2609,5185,5750,0,517,1306,0,0400000US50,50
21,Utah,3205958,3102384,2799527,36918,35368,76470,30725,123376,103574,15756,87818,92393,15140,15377,30520,1085,30271,8836,2345,0400000US49,49
22,Virginia,8535519,8215287,5714646,1659908,23388,565643,5039,246663,320232,32907,287325,296717,113091,27100,94105,13676,48745,20909,2606,0400000US51,51
